GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,SYMBOL.1,SYMBOL.2,SYMBOL.3,SYMBOL.4,SYMBOL.5
H1A,  Median total income of household in 2020 ($),73000.0,...,...,,...,...
H1B,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H1C,  Median total income of household in 2020 ($),107000.0,...,...,,...,...
H1E,  Median total income of household in 2020 ($),76000.0,...,...,,...,...
H1G,  Median total income of household in 2020 ($),57200.0,...,...,,...,...
H1H,  Median total income of household in 2020 ($),55200.0,...,...,,...,...
H1J,  Median total income of household in 2020 ($),68000.0,...,...,,...,...
H1K,  Median total income of household in 2020 ($),76000.0,...,...,,...,...
H1L,  Median total income of household in 2020 ($),61200.0,...,...,,...,...
H1M,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H1N,  Median total income of household in 2020 ($),58800.0,...,...,,...,...
H1P,  Median total income of household in 2020 ($),67500.0,...,...,,...,...
H1R,  Median total income of household in 2020 ($),70000.0,...,...,,...,...
H1S,  Median total income of household in 2020 ($),62400.0,...,...,,...,...
H1T,  Median total income of household in 2020 ($),58000.0,...,...,,...,...
H1V,  Median total income of household in 2020 ($),59200.0,...,...,,...,...
H1W,  Median total income of household in 2020 ($),56800.0,...,...,,...,...
H1X,  Median total income of household in 2020 ($),56800.0,...,...,,...,...
H1Y,  Median total income of household in 2020 ($),62400.0,...,...,,...,...
H1Z,  Median total income of household in 2020 ($),56000.0,...,...,,...,...
H2A,  Median total income of household in 2020 ($),55200.0,...,...,,...,...
H2B,  Median total income of household in 2020 ($),58400.0,...,...,,...,...
H2C,  Median total income of household in 2020 ($),65500.0,...,...,,...,...
H2E,  Median total income of household in 2020 ($),55600.0,...,...,,...,...
H2G,  Median total income of household in 2020 ($),60800.0,...,...,,...,...
H2H,  Median total income of household in 2020 ($),66000.0,...,...,,...,...
H2J,  Median total income of household in 2020 ($),70000.0,...,...,,...,...
H2K,  Median total income of household in 2020 ($),54800.0,...,...,,...,...
H2L,  Median total income of household in 2020 ($),57200.0,...,...,,...,...
H2M,  Median total income of household in 2020 ($),70500.0,...,...,,...,...
H2N,  Median total income of household in 2020 ($),63600.0,...,...,,...,...
H2P,  Median total income of household in 2020 ($),68500.0,...,...,,...,...
H2R,  Median total income of household in 2020 ($),66000.0,...,...,,...,...
H2S,  Median total income of household in 2020 ($),65500.0,...,...,,...,...
H2T,  Median total income of household in 2020 ($),67500.0,...,...,,...,...
H2V,  Median total income of household in 2020 ($),90000.0,...,...,,...,...
H2W,  Median total income of household in 2020 ($),56800.0,...,...,,...,...
H2X,  Median total income of household in 2020 ($),40800.0,...,...,,...,...
H2Y,  Median total income of household in 2020 ($),89000.0,...,...,,...,...
H2Z,  Median total income of household in 2020 ($),60400.0,...,...,,...,...
H3A,  Median total income of household in 2020 ($),36400.0,...,...,,...,...
H3B,  Median total income of household in 2020 ($),49200.0,...,...,,...,...
H3C,  Median total income of household in 2020 ($),84000.0,...,...,,...,...
H3E,  Median total income of household in 2020 ($),93000.0,...,...,,...,...
H3G,  Median total income of household in 2020 ($),49200.0,...,...,,...,...
H3H,  Median total income of household in 2020 ($),40800.0,...,...,,...,...
H3J,  Median total income of household in 2020 ($),69000.0,...,...,,...,...
H3K,  Median total income of household in 2020 ($),64500.0,...,...,,...,...
H3L,  Median total income of household in 2020 ($),63600.0,...,...,,...,...
H3M,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H3N,  Median total income of household in 2020 ($),48000.0,...,...,,...,...
H3P,  Median total income of household in 2020 ($),136000.0,...,...,,...,...
H3R,  Median total income of household in 2020 ($),123000.0,...,...,,...,...
H3S,  Median total income of household in 2020 ($),54800.0,...,...,,...,...
H3T,  Median total income of household in 2020 ($),47600.0,...,...,,...,...
H3V,  Median total income of household in 2020 ($),50000.0,...,...,,...,...
H3W,  Median total income of household in 2020 ($),61600.0,...,...,,...,...
H3X,  Median total income of household in 2020 ($),75500.0,...,...,,...,...
H3Y,  Median total income of household in 2020 ($),240000.0,...,...,,...,...
H3Z,  Median total income of household in 2020 ($),79500.0,...,...,,...,...
H4A,  Median total income of household in 2020 ($),78000.0,...,...,,...,...
H4B,  Median total income of household in 2020 ($),51200.0,...,...,,...,...
H4C,  Median total income of household in 2020 ($),64500.0,...,...,,...,...
H4E,  Median total income of household in 2020 ($),59200.0,...,...,,...,...
H4G,  Median total income of household in 2020 ($),61200.0,...,...,,...,...
H4H,  Median total income of household in 2020 ($),71000.0,...,...,,...,...
H4J,  Median total income of household in 2020 ($),58000.0,...,...,,...,...
H4K,  Median total income of household in 2020 ($),90000.0,...,...,,...,...
H4L,  Median total income of household in 2020 ($),67500.0,...,...,,...,...
H4M,  Median total income of household in 2020 ($),85000.0,...,...,,...,...
H4N,  Median total income of household in 2020 ($),61600.0,...,...,,...,...
H4P,  Median total income of household in 2020 ($),65500.0,...,...,,...,...
H4R,  Median total income of household in 2020 ($),89000.0,...,...,,...,...
H4S,  Median total income of household in 2020 ($),106000.0,...,...,,...,...
H4T,  Median total income of household in 2020 ($),,...,...,x,...,...
H4V,  Median total income of household in 2020 ($),59600.0,...,...,,...,...
H4W,  Median total income of household in 2020 ($),75500.0,...,...,,...,...
H4X,  Median total income of household in 2020 ($),105000.0,...,...,,...,...
H7A,  Median total income of household in 2020 ($),101000.0,...,...,,...,...
H7B,  Median total income of household in 2020 ($),98000.0,...,...,,...,...
H7C,  Median total income of household in 2020 ($),72000.0,...,...,,...,...
H7E,  Median total income of household in 2020 ($),100000.0,...,...,,...,...
H7G,  Median total income of household in 2020 ($),72000.0,...,...,,...,...
H7H,  Median total income of household in 2020 ($),103000.0,...,...,,...,...
H7J,  Median total income of household in 2020 ($),95000.0,...,...,,...,...
H7K,  Median total income of household in 2020 ($),104000.0,...,...,,...,...
H7L,  Median total income of household in 2020 ($),107000.0,...,...,,...,...
H7M,  Median total income of household in 2020 ($),86000.0,...,...,,...,...
H7N,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H7P,  Median total income of household in 2020 ($),92000.0,...,...,,...,...
H7R,  Median total income of household in 2020 ($),94000.0,...,...,,...,...
H7S,  Median total income of household in 2020 ($),69000.0,...,...,,...,...
H7T,  Median total income of household in 2020 ($),81000.0,...,...,,...,...
H7V,  Median total income of household in 2020 ($),56000.0,...,...,,...,...
H7W,  Median total income of household in 2020 ($),71000.0,...,...,,...,...
H7X,  Median total income of household in 2020 ($),107000.0,...,...,,...,...
H7Y,  Median total income of household in 2020 ($),129000.0,...,...,,...,...
H8N,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H8P,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H8R,  Median total income of household in 2020 ($),62000.0,...,...,,...,...
H8S,  Median total income of household in 2020 ($),60400.0,...,...,,...,...
H8T,  Median total income of household in 2020 ($),79000.0,...,...,,...,...
H8Y,  Median total income of household in 2020 ($),75500.0,...,...,,...,...
H8Z,  Median total income of household in 2020 ($),85000.0,...,...,,...,...
H9A,  Median total income of household in 2020 ($),108000.0,...,...,,...,...
H9B,  Median total income of household in 2020 ($),87000.0,...,...,,...,...
H9C,  Median total income of household in 2020 ($),116000.0,...,...,,...,...
H9E,  Median total income of household in 2020 ($),103000.0,...,...,,...,...
H9G,  Median total income of household in 2020 ($),94000.0,...,...,,...,...
H9H,  Median total income of household in 2020 ($),87000.0,...,...,,...,...
H9J,  Median total income of household in 2020 ($),109000.0,...,...,,...,...
H9K,  Median total income of household in 2020 ($),113000.0,...,...,,...,...
H9P,  Median total income of household in 2020 ($),89000.0,...,...,,...,...
H9R,  Median total income of household in 2020 ($),93000.0,...,...,,...,...
H9S,  Median total income of household in 2020 ($),79500.0,...,...,,...,...
H9W,  Median total income of household in 2020 ($),138000.0,...,...,,...,...
H9X,  Median total income of household in 2020 ($),104000.0,...,...,,...,...
